지역,총계,법인,개인사업자,일반사업자,간이사업자,면세사업자,지역,총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
서울 ,"316,610 ","41,303 ","275,307 ","130,904 ","70,012 ","74,391 ",서울 ,"183,386 ","20,228 ","163,158 ","98,581 ","40,982 ","23,595 "
 강남구,"31,689 ","8,448 ","23,241 ","12,472 ","2,995 ","7,774 ", 강남구,"17,075 ","3,775 ","13,300 ","9,388 ","1,487 ","2,425 "
 강동구,"11,738 ",806 ,"10,932 ","4,685 ","3,333 ","2,914 ", 강동구,"6,761 ",412 ,"6,349 ","3,517 ","1,869 ",963 
 강북구,"6,985 ",391 ,"6,594 ","2,861 ","2,312 ","1,421 ", 강북구,"4,437 ",222 ,"4,215 ","2,235 ","1,466 ",514 
 강서구,"18,076 ","1,924 ","16,152 ","7,437 ","4,490 ","4,225 ", 강서구,"10,122 ",815 ,"9,307 ","5,630 ","2,391 ","1,286 "
 관악구,"12,371 ",665 ,"11,706 ","4,721 ","4,191 ","2,794 ", 관악구,"7,199 ",313 ,"6,886 ","3,617 ","2,450 ",819 
 광진구,"9,540 ",768 ,"8,772 ","3,658 ","2,823 ","2,291 ", 광진구,"5,379 ",404 ,"4,975 ","2,770 ","1,503 ",702 
 구로구,"12,227 ","1,793 ","10,434 ","4,956 ","2,839 ","2,639 ", 구로구,"6,992 ",910 ,"6,082 ","3,601 ","1,742 ",739 
 금천구,"10,760 ","2,210 ","8,550 ","5,230 ","1,814 ","1,506 ", 금천구,"6,097 ",948 ,"5,149 ","3,609 ","1,084 ",456 
 노원구,"10,681 ",470 ,"10,211 ","3,642 ","3,313 ","3,256 ", 노원구,"5,934 ",264 ,"5,670 ","2,674 ","1,982 ","1,014 "
 도봉구,"6,344 ",293 ,"6,051 ","2,352 ","2,090 ","1,609 ", 도봉구,"3,804 ",156 ,"3,648 ","1,861 ","1,269 ",518 
 동대문구,"12,274 ",681 ,"11,593 ","6,301 ","2,793 ","2,499 ", 동대문구,"6,568 ",347 ,"6,221 ","3,711 ","1,750 ",760 
 동작구,"8,523 ",486 ,"8,037 ","2,966 ","2,341 ","2,730 ", 동작구,"4,802 ",244 ,"4,558 ","2,282 ","1,382 ",894 
 마포구,"15,848 ","2,178 ","13,670 ","6,114 ","3,974 ","3,582 ", 마포구,"9,237 ","1,184 ","8,053 ","4,809 ","2,137 ","1,107 "
 서대문구,"7,987 ",708 ,"7,279 ","3,156 ","2,162 ","1,961 ", 서대문구,"4,647 ",351 ,"4,296 ","2,365 ","1,286 ",645 
 서초구,"20,520 ","3,983 ","16,537 ","8,526 ","2,322 ","5,689 ", 서초구,"11,181 ","2,011 ","9,170 ","6,110 ","1,313 ","1,747 "
 성동구,"10,662 ","1,661 ","9,001 ","4,143 ","2,354 ","2,504 ", 성동구,"5,478 ",662 ,"4,816 ","2,811 ","1,269 ",736 
 성북구,"9,259 ",516 ,"8,743 ","3,463 ","2,931 ","2,349 ", 성북구,"5,303 ",255 ,"5,048 ","2,480 ","1,761 ",807 
 송파구,"22,162 ","2,658 ","19,504 ","8,780 ","4,401 ","6,323 ", 송파구,"12,753 ","1,196 ","11,557 ","6,883 ","2,460 ","2,214 "
 양천구,"10,143 ",600 ,"9,543 ","3,829 ","2,589 ","3,125 ", 양천구,"5,759 ",347 ,"5,412 ","2,854 ","1,566 ",992 
 영등포구,"19,207 ","5,114 ","14,093 ","7,926 ","2,742 ","3,425 ", 영등포구,"11,137 ","2,383 ","8,754 ","6,092 ","1,641 ","1,021 "
 용산구,"9,385 ","1,085 ","8,300 ","3,754 ","1,833 ","2,713 ", 용산구,"5,134 ",575 ,"4,559 ","2,827 ","1,074 ",658 
 은평구,"10,484 ",556 ,"9,928 ","3,798 ","3,494 ","2,636 ", 은평구,"6,030 ",299 ,"5,731 ","2,837 ","2,017 ",877 
 종로구,"9,313 ","1,297 ","8,016 ","5,142 ","1,442 ","1,432 ", 종로구,"6,179 ",727 ,"5,452 ","4,021 ","1,001 ",430 
 중구,"10,966 ","1,611 ","9,355 ","6,678 ","1,375 ","1,302 ", 중구,"9,854 ","1,205 ","8,649 ","6,833 ","1,136 ",680 
 중랑구,"9,466 ",401 ,"9,065 ","4,314 ","3,059 ","1,692 ", 중랑구,"5,524 ",223 ,"5,301 ","2,764 ","1,946 ",591 